,Name,Skeleton_25_marker:Head,Skeleton_25_marker:Head,Skeleton_25_marker:Head,Skeleton_25_marker:Head,Skeleton_25_marker:Head,Skeleton_25_marker:Head,Skeleton_25_marker:Head,Skeleton_25_marker:LShoulder,Skeleton_25_marker:LShoulder,Skeleton_25_marker:LShoulder,Skeleton_25_marker:LShoulder,Skeleton_25_marker:LShoulder,Skeleton_25_marker:LShoulder,Skeleton_25_marker:LShoulder,Skeleton_25_marker:LUArm,Skeleton_25_marker:LUArm,Skeleton_25_marker:LUArm,Skeleton_25_marker:LUArm,Skeleton_25_marker:LUArm,Skeleton_25_marker:LUArm,Skeleton_25_marker:LUArm,Skeleton_25_marker:LFArm,Skeleton_25_marker:LFArm,Skeleton_25_marker:LFArm,Skeleton_25_marker:LFArm,Skeleton_25_marker:LFArm,Skeleton_25_marker:LFArm,Skeleton_25_marker:LFArm,Skeleton_25_marker:LHand,Skeleton_25_marker:LHand,Skeleton_25_marker:LHand,Skeleton_25_marker:LHand,Skeleton_25_marker:LHand,Skeleton_25_marker:LHand,Skeleton_25_marker:LHand,Skeleton_25_marker:RShoulder,Skeleton_25_marker:RShoulder,Skeleton_25_marker:RShoulder,Skeleton_25_marker:RShoulder,Skeleton_25_marker:RShoulder,Skeleton_25_marker:RShoulder,Skeleton_25_marker:RShoulder,Skeleton_25_marker:RUArm,Skeleton_25_marker:RUArm,Skeleton_25_marker:RUArm,Skeleton_25_marker:RUArm,Skeleton_25_marker:RUArm,Skeleton_25_marker:RUArm,Skeleton_25_marker:RUArm,Skeleton_25_marker:RFArm,Skeleton_25_marker:RFArm,Skeleton_25_marker:RFArm,Skeleton_25_marker:RFArm,Skeleton_25_marker:RFArm,Skeleton_25_marker:RFArm,Skeleton_25_marker:RFArm,Skeleton_25_marker:RHand,Skeleton_25_marker:RHand,Skeleton_25_marker:RHand,Skeleton_25_marker:RHand,Skeleton_25_marker:RHand,Skeleton_25_marker:RHand,Skeleton_25_marker:RHand,Skeleton_25_marker:HeadTop,Skeleton_25_marker:HeadTop,Skeleton_25_marker:HeadTop,Skeleton_25_marker:BackTop,Skeleton_25_marker:BackTop,Skeleton_25_marker:BackTop,Skeleton_25_marker:LElbowOut,Skeleton_25_marker:LElbowOut,Skeleton_25_marker:LElbowOut,Skeleton_25_marker:LWristOut,Skeleton_25_marker:LWristOut,Skeleton_25_marker:LWristOut,Skeleton_25_marker:RElbowOut,Skeleton_25_marker:RElbowOut,Skeleton_25_marker:RElbowOut,Skeleton_25_marker:RWristOut,Skeleton_25_marker:RWristOut,Skeleton_25_marker:RWristOut,Skeleton_25_marker:WaistLFront,Skeleton_25_marker:WaistLFront,Skeleton_25_marker:WaistLFront,Skeleton_25_marker:WaistLBack,Skeleton_25_marker:WaistLBack,Skeleton_25_marker:WaistLBack,Skeleton_25_marker:WaistRBack,Skeleton_25_marker:WaistRBack,Skeleton_25_marker:WaistRBack,Skeleton_25_marker:WaistRFront,Skeleton_25_marker:WaistRFront,Skeleton_25_marker:WaistRFront,SkeletonConLow:LThigh,SkeletonConLow:LThigh,SkeletonConLow:LThigh,SkeletonConLow:LThigh,SkeletonConLow:LThigh,SkeletonConLow:LThigh,SkeletonConLow:LThigh,SkeletonConLow:LShin,SkeletonConLow:LShin,SkeletonConLow:LShin,SkeletonConLow:LShin,SkeletonConLow:LShin,SkeletonConLow:LShin,SkeletonConLow:LShin,SkeletonConLow:LFoot,SkeletonConLow:LFoot,SkeletonConLow:LFoot,SkeletonConLow:LFoot,SkeletonConLow:LFoot,SkeletonConLow:LFoot,SkeletonConLow:LFoot,SkeletonConLow:RThigh,SkeletonConLow:RThigh,SkeletonConLow:RThigh,SkeletonConLow:RThigh,SkeletonConLow:RThigh,SkeletonConLow:RThigh,SkeletonConLow:RThigh,SkeletonConLow:RShin,SkeletonConLow:RShin,SkeletonConLow:RShin,SkeletonConLow:RShin,SkeletonConLow:RShin,SkeletonConLow:RShin,SkeletonConLow:RShin,SkeletonConLow:RFoot,SkeletonConLow:RFoot,SkeletonConLow:RFoot,SkeletonConLow:RFoot,SkeletonConLow:RFoot,SkeletonConLow:RFoot,SkeletonConLow:RFoot,SkeletonConLow:LTHI,SkeletonConLow:LTHI,SkeletonConLow:LTHI,SkeletonConLow:LKNE,SkeletonConLow:LKNE,SkeletonConLow:LKNE,SkeletonConLow:LANK,SkeletonConLow:LANK,SkeletonConLow:LANK,SkeletonConLow:RTHI,SkeletonConLow:RTHI,SkeletonConLow:RTHI,SkeletonConLow:RKNE,SkeletonConLow:RKNE,SkeletonConLow:RKNE,SkeletonConLow:RANK,SkeletonConLow:RANK,SkeletonConLow:RANK,SkeletonConLow:LANK,SkeletonConLow:LANK,SkeletonConLow:LANK,SkeletonConLow:LKNE,SkeletonConLow:LKNE,SkeletonConLow:LKNE,SkeletonConLow:LTHI,SkeletonConLow:LTHI,SkeletonConLow:LTHI,SkeletonConLow:RANK,SkeletonConLow:RANK,SkeletonConLow:RANK,SkeletonConLow:RKNE,SkeletonConLow:RKNE,SkeletonConLow:RKNE,SkeletonConLow:RTHI,SkeletonConLow:RTHI,SkeletonConLow:RTHI,Skeleton_25_marker:BackTop,Skeleton_25_marker:BackTop,Skeleton_25_marker:BackTop,Skeleton_25_marker:HeadTop,Skeleton_25_marker:HeadTop,Skeleton_25_marker:HeadTop,Skeleton_25_marker:LElbowOut,Skeleton_25_marker:LElbowOut,Skeleton_25_marker:LElbowOut,Skeleton_25_marker:LWristOut,Skeleton_25_marker:LWristOut,Skeleton_25_marker:LWristOut,Skeleton_25_marker:RElbowOut,Skeleton_25_marker:RElbowOut,Skeleton_25_marker:RElbowOut,Skeleton_25_marker:RWristOut,Skeleton_25_marker:RWristOut,Skeleton_25_marker:RWristOut,Skeleton_25_marker:WaistLBack,Skeleton_25_marker:WaistLBack,Skeleton_25_marker:WaistLBack,Skeleton_25_marker:WaistLFront,Skeleton_25_marker:WaistLFront,Skeleton_25_marker:WaistLFront,Skeleton_25_marker:WaistRBack,Skeleton_25_marker:WaistRBack,Skeleton_25_marker:WaistRBack,Skeleton_25_marker:WaistRFront,Skeleton_25_marker:WaistRFront,Skeleton_25_marker:WaistRFront
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.353193,0.499714,-0.194144,0.766713,-223.338394,1506.616089,538.928467,0.042283,0.653008,0.036756,0.755276,-285.460083,1362.778687,483.703278,-0.049507,0.376900,-0.598085,0.705542,-270.595337,1374.174072,382.523285,-0.132786,-0.001494,-0.544318,0.828301,-270.425323,1062.124756,215.172516,0.074267,-0.107807,0.726531,-0.674548,-164.052826,826.806519,253.559586,-0.027733,0.554619,-0.064582,0.829130,-295.371429,1359.868774,552.804688,0.563637,0.706227,0.133196,0.407205,-334.108063,1374.054077,647.072754,0.500094,0.821888,0.246552,0.116697,-322.424469,1053.746948,797.565369,0.640137,0.718984,0.256050,0.087890,-199.044144,824.103516,783.264832,-123.142319,1602.633301,592.165649,-398.358765,1372.729858,507.054321,-247.073608,1135.595459,221.228424,-160.026901,836.919556,207.970596,-299.079346,1063.072021,819.906982,-206.355774,832.995544,827.905945,-153.677658,966.898010,394.332550,-369.308258,966.946228,385.966583,-380.100098,937.688904,567.593018,-147.837997,894.628113,625.146423,-0.021163,-0.707667,-0.023420,-0.705841,-265.726440,830.011292,449.893463,-0.074403,-0.707415,0.030084,-0.702228,-264.774841,524.494141,430.600281,-0.285240,-0.681494,-0.276723,-0.614514,-331.327026,79.163704,402.660522,-0.019143,-0.714805,0.004087,-0.699050,-264.246216,844.801270,632.459534,-0.050369,-0.713908,0.036032,-0.697495,-274.373596,538.908630,626.055054,0.170951,-0.564124,0.343296,-0.731224,-329.494751,91.227112,617.566040,-247.561310,689.903320,298.064758,-287.917267,514.585693,319.436066,-315.699615,92.943588,355.395508,-212.145782,788.103088,722.325928,-275.547302,539.030273,712.130005,-329.508270,94.860588,664.059082,-315.699615,92.943588,355.395508,-287.917267,514.585693,319.436066,-247.561310,689.903320,298.064758,-329.508270,94.860588,664.059082,-275.547302,539.030273,712.130005,-212.145782,788.103088,722.325928,-398.358765,1372.729858,507.054321,-123.142319,1602.633301,592.165649,-247.073608,1135.595459,221.228424,-160.026901,836.919556,207.970596,-299.079346,1063.072021,819.906982,-206.355774,832.995544,827.905945,-369.308258,966.946228,385.966583,-153.677658,966.898010,394.332550,-380.100098,937.688904,567.593018,-147.837997,894.628113,625.146423
1,0.008333,0.353182,0.499625,-0.194262,0.766746,-223.293015,1506.612549,538.964966,0.042287,0.653001,0.036735,0.755283,-285.429504,1362.786133,483.731293,-0.049569,0.376854,-0.597998,0.705637,-270.562592,1374.178833,382.551361,-0.133149,-0.001340,-0.544197,0.828323,-270.293335,1062.118042,215.221863,0.074659,-0.107828,0.726182,-0.674877,-163.851746,826.835754,253.637131,-0.027713,0.554589,-0.064600,0.829150,-295.341949,1359.872925,552.832397,0.563803,0.706164,0.133096,0.407116,-334.084930,1374.059082,647.097656,0.500323,0.821807,0.246387,0.116633,-322.483063,1053.731079,797.551941,0.640327,0.718883,0.255870,0.087859,-199.214523,824.028809,783.232422,-123.069946,1602.636841,592.191650,-398.323730,1372.723145,507.095154,-246.969757,1135.598267,221.282272,-159.851883,836.943848,208.030014,-299.114227,1063.050049,819.884399,-206.515137,832.946228,827.874695,-153.647324,966.932434,394.313904,-369.291473,966.960754,385.996094,-380.082703,937.690369,567.608582,-147.813705,894.661194,625.135498,-0.021169,-0.707686,-0.023418,-0.705822,-265.706909,830.035156,449.892639,-0.074424,-0.707433,0.030106,-0.702206,-264.759338,524.518066,430.598236,-0.285235,-0.681516,-0.276712,-0.614498,-331.339539,79.191658,402.660553,-0.019171,-0.714839,0.004126,-0.699014,-264.206573,844.820557,632.458984,-0.050370,-0.713941,0.036047,-0.697461,-274.363159,538.928833,626.060059,0.170976,-0.564155,0.343211,-0.731234,-329.494995,91.248482,617.582275,-247.559799,689.911072,298.077209,-287.911591,514.585205,319.451752,-315.702362,92.942436,355.387787,-212.107132,788.090332,722.319458,-275.561127,539.125366,712.153625,-329.515442,94.917503,664.063843,-315.702362,92.942436,355.387787,-287.911591,514.585205,319.451752,-247.559799,689.911072,298.077209,-329.515442,94.917503,664.063843,-275.561127,539.125366,712.153625,-212.107132,788.090332,722.319458,-398.323730,1372.723145,507.095154,-123.069946,1602.636841,592.191650,-246.969757,1135.598267,221.282272,-159.851883,836.943848,208.030014,-299.114227,1063.050049,819.884399,-206.515137,832.946228,827.874695,-369.291473,966.960754,385.996094,-153.647324,966.932434,394.313904,-380.082703,937.690369,567.608582,-147.813705,894.661194,625.135498
2,0.016667,0.353160,0.499360,-0.194344,0.766908,-223.274521,1506.567139,539.098328,0.042303,0.652974,0.036690,0.755307,-285.416779,1362.756958,483.819000,-0.049399,0.376658,-0.597967,0.705779,-270.541901,1374.144897,382.639648,-0.133491,-0.001222,-0.544199,0.828267,-270.142090,1062.091309,215.297104,0.074909,-0.107820,0.725135,-0.675975,-163.701233,826.816284,253.758255,-0.027681,0.554488,-0.064670,0.829213,-295.341522,1359.837280,552.918091,0.563982,0.706117,0.132943,0.407000,-334.105835,1374.031982,647.173279,0.500595,0.821710,0.246177,0.116590,-322.580200,1053.688232,797.600281,0.640564,0.718751,0.255659,0.087826,-199.448578,823.912842,783.276428,-123.062851,1602.622070,592.320435,-398.290253,1372.701172,507.129974,-246.883087,1135.600708,221.362930,-159.667786,836.958008,208.121994,-299.204681,1062.994141,819.948730,-206.734879,832.832092,827.933960,-153.706161,966.894043,394.405670,-369.280090,966.972656,386.034973,-380.051727,937.700623,567.636169,-147.845123,894.625305,625.209412,-0.021201,-0.707690,-0.023432,-0.705817,-265.706635,830.016052,449.949585,-0.074444,-0.707438,0.030081,-0.702200,-264.766907,524.500244,430.635376,-0.285268,-0.681489,-0.276709,-0.614514,-331.344269,79.175171,402.669617,-0.019216,-0.714841,0.004161,-0.699010,-264.210846,844.799561,632.516052,-0.050362,-0.713945,0.036027,-0.697458,-274.401794,538.908997,626.113037,0.170947,-0.564208,0.343089,-0.731257,-329.515930,91.226578,617.628113,-247.575607,689.914856,298.095459,-287.907715,514.579102,319.471863,-315.711395,92.921410,355.413818,-212.079681,788.072021,722.346680,-275.606598,539.115295,712.281555,-329.524872,94.889961,664.132019,-315.711395,92.921410,355.413818,-287.907715,514.579102,319.471863,-247.575607,689.914856,298.095459,-329.524872,94.889961,664.132019,-275.606598,539.115295,712.281555,-212.079681,788.072021,722.346680,-398.290253,1372.701172,507.129974,-123.062851,1602.622070,592.320435,-246.883087,1135.600708,221.362930,-159.667786,836.958008,208.121994,-299.204681,1062.994141,819.948730,-206.734879,832.832092,827.933960,-369.280090,966.972656,386.034973,-153.706161,966.894043,394.405670,-380.051727,937.700623,567.636169,-147.845123,894.625305,625.209412
3,0.025000,0.353125,0.499420,-0.194495,0.766847,-223.176712,1506.542480,539.068481,0.042310,0.653049,0.036655,0.755244,-285.344910,1362.739136,483.818420,-0.049485,0.376577,-0.597871,0.705898,-270.489685,1374.122559,382.635681,-0.133810,-0.001078,-0.544079,0.828294,-269.965454,1062.046753,215.334763,0.075125,-0.108044,0.724339,-0.676768,-163.456604,826.805725,253.816193,-0.027660,0.554442,-0.064696,0.829242,-295.261719,1359.818970,552.918640,0.564151,0.706035,0.132917,0.406917,-334.035767,1374.015869,647.169495,0.500841,0.821553,0.246136,0.116727,-322.596863,1053.635864,797.525818,0.640820,0.718510,0.255706,0.087793,-199.610474,823.780884,783.230347,-122.923752,1602.581787,592.267029,-398.246094,1372.687866,507.161011,-246.752640,1135.587158,221.401352,-159.447037,836.993591,208.186508,-299.206635,1062.924316,819.871277,-206.860031,832.704468,827.880981,-153.595413,966.869019,394.342896,-369.262848,966.991028,386.071625,-380.015991,937.711853,567.684204,-147.765701,894.608765,625.162231,-0.021205,-0.707726,-0.023420,-0.705781,-265.663696,830.014893,449.933441,-0.074441,-0.707473,0.030090,-0.702164,-264.731964,524.498840,430.622375,-0.285262,-0.681498,-0.276741,-0.614492,-331.314606,79.173775,402.668121,-0.019241,-0.714876,0.004206,-0.698974,-264.131012,844.794556,632.499878,-0.050384,-0.713978,0.036073,-0.697421,-274.352844,538.904907,626.106506,0.170907,-0.564219,0.343041,-0.731280,-329.510651,91.227562,617.639709,-247.553406,689.928772,298.082642,-287.883789,514.589050,319.461487,-315.677460,92.957504,355.393097,-212.040939,788.061951,722.363281,-275.525391,539.011230,712.217896,-329.493225,94.867867,664.118042,-315.677460,92.957504,355.393097,-287.883789,514.589050,319.461487,-247.553406,689.928772,298.082642,-329.493225,94.867867,664.118042,-275.525391,539.011230,712.217896,-212.040939,788.061951,722.363281,-398.246094,1372.687866,507.161011,-122.923752,1602.581787,592.267029,-246.752640,1135.587158,221.401352,-159.447037,836.993591,208.186508,-299.206635,1062.924316,819.871277,-206.860031,832.704468,827.880981,-369.262848,966.991028,386.071625,-153.595413,966.869019,394.342896,-380.015991,937.711853,567.684204,-147.765701,894.608765,625.162231
4,0.033333,0.353162,0.499137,-0.194526,0.767006,-223.164886,1506.527954,539.173218,0.042350,0.653020,0.036628,0.755268,-285.339813,1362.736328,483.890625,-0.049364,0.376435,-0.597842,0.706006,-270.476471,1374.120972,382.709198,-0.133910,-0.001149,-0.544051,0.828296,-269.852386,1062.050781,215.398224,0.075187,-0.107873,0.723822,-0.677342,-163.327759,826.826294,253.936676,-0.027641,0.554386,-0.064776,0.829274,-295.265320,1359.813110,552.989441,0.564298,0.705946,0.132824,0.406898,-334.049957,1374.021606,647.234192,0.501040,0.821457,0.246040,0.116756,-322.717896,1053.632446,797.578918,0.641143,0.718253,0.255557,0.087969,-199.838943,823.719727,783.289551,-122.921455,1602.602905,592.390503,-398.198181,1372.682983,507.202576,-246.676102,1135.606934,221.440399,-159.266617,837.005676,208.296295,-299.323303,1062.903931,819.938782,-207.110016,832.661682,827.962463,-153.687576,966.890076,394.439728,-369.262421,967.006287,386.091156,-379.986481,937.721802,567.709412,-147.812988,894.636963,625.218933,-0.021234,-0.707747,-0.023434,-0.705758,-265.679871,830.027954,449.979156,-0.074473,-0.707496,0.030083,-0.702139,-264.754944,524.513000,430.649536,-0.285304,-0.681479,-0.276798,-0.614469,-331.353729,79.191833,402.672577,-0.019278,-0.714933,0.004235,-0.698915,-264.138733,844.802612,632.545959,-0.050378,-0.714035,0.036064,-0.697363,-274.389069,538.913940,626.150574,0.171012,-0.564300,0.342880,-0.731269,-329.537872,91.235519,617.686096,-247.585037,689.924377,298.109131,-287.907623,514.582092,319.487640,-315.724152,92.908592,355.422821,-211.982498,788.052490,722.357056,-275.584839,539.189575,712.412537,-329.527679,94.920853,664.190186,-315.724152,92.908592,355.422821,-287.907623,514.582092,319.487640,-247.585037,689.924377,298.109131,-329.527679,94.920853,664.190186,-275.584839,539.189575,712.412537,-211.982498,788.052490,722.357056,-398.198181,1372.682983,507.202576,-122.921455,1602.602905,592.390503,-246.676102,1135.606934,221.440399,-159.266617,837.005676,208.296295,-299.323303,1062.903931,819.938782,-207.110016,832.661682,827.962463,-369.262421,967.006287,386.091156,-153.687576,966.890076,394.439728,-379.986481,937.721802,567.709412,-147.812988,894.636963,625.218933
5,0.041667,0.353134,0.499160,-0.194638,0.766976,-223.072174,1506.482544,539.182129,0.042412,0.653021,0.036615,0.755264,-285.265808,1362.698608,483.916321,-0.049364,0.376402,-0.597775,0.706080,-270.402435,1374.089478,382.735596,-0.134021,-0.001217,-0.543939,0.828352,-269.704010,1062.022461,215.419083,0.075259,-0.107862,0.723659,-0.677510,-163.115601,826.835510,254.010742,-0.027559,0.554386,-0.064766,0.829278,-295.188843,1359.770874,553.015320,0.564468,0.705827,0.132850,0.406859,-333.973846,1373.968262,647.261597,0.501266,0.821253,0.246137,0.117015,-322.755157,1053.537476,797.526306,0.641410,0.717936,0.255730,0.088111,-200.025940,823.541992,783.280945,-122.793373,1602.548096,592.355469,-398.151611,1372.667603,507.231598,-246.540009,1135.571777,221.473206,-159.058426,837.025391,208.375290,-299.338348,1062.796753,819.877380,-207.278015,832.456360,827.922485,-153.611496,966.821472,394.399353,-369.256653,967.027283,386.112762,-379.940765,937.735046,567.745789,-147.759781,894.584595,625.193665,-0.021240,-0.707784,-0.023435,-0.705721,-265.646973,830.006226,449.982819,-0.074466,-0.707533,0.030075,-0.702102,-264.725464,524.491455,430.650085,-0.285335,-0.681456,-0.276779,-0.614487,-331.316406,79.168854,402.675598,-0.019303,-0.714976,0.004264,-0.698870,-264.076752,844.773193,632.549927,-0.050406,-0.714076,0.036100,-0.697317,-274.351440,538.885254,626.156982,0.170807,-0.564357,0.342836,-0.731293,-329.541290,91.211617,617.701294,-247.570618,689.941772,298.097168,-287.889221,514.600098,319.469635,-315.677002,92.969963,355.384308,-211.916748,788.039124,722.353333,-275.495483,538.956848,712.345947,-329.499542,94.822945,664.185974,-315.677002,92.969963,355.384308,-287.889221,514.600098,319.469635,-247.570618,689.941772,298.097168,-329.499542,94.822945,664.185974,-275.495483,538.956848,712.345947,-211.916748,788.039124,722.353333,-398.151611,1372.667603,507.231598,-122.793373,1602.548096,592.355469,-246.540009,1135.571777,221.473206,-159.058426,837.025391,208.375290,-299.338348,1062.796753,819.877380,-207.278015,832.456360,827.922485,-369.256653,967.027283,386.112762,-153.611496,966.821472,394.399353,-379.940765,937.735046,567.745789,-147.759781,894.584595,625.193665
6,0.050000,0.353128,0.499028,-0.194726,0.767042,-223.023026,1506.488525,539.226929,0.042456,0.653001,0.036589,0.755280,-285.229340,1362.713867,483.949097,-0.049354,0.376353,-0.597722,0.706152,-270.360199,1374.106567,382.769409,-0.134200,-0.001291,-0.543827,0.828397,-269.590454,1062.039917,215.452164,0.075463,-0.107664,0.723508,-0.677680,-162.938324,826.894287,254.118942,-0.027513,0.554362,-0.064797,0.829293,-295.154968,1359.784302,553.047607,0.564637,0.705713,0.132812,0.406836,-333.944733,1373.981812,647.291870,0.501492,0.821093,0.246136,0.117174,-322.847656,1053.525513,797.511475,0.641701,0.717651,0.255716,0.088355,-200.256165,823.454651,783.295837,-122.733353,1602.574829,592.402893,-398.096802,1372.685547,507.255615,-246.446823,1135.597290,221.502792,-158.889923,837.048523,208.474319,-299.422119,1062.770508,819.872192,-207.533173,832.404297,827.949463,-153.655853,966.865417,394.417816,-369.263153,967.044983,386.145203,-379.912170,937.751404,567.783813,-147.773117,894.628540,625.200989,-0.021252,-0.707820,-0.023450,-0.705684,-265.653259,830.032532,449.998566,-0.074483,-0.707569,0.030071,-0.702064,-264.731415,524.518494,430.654358,-0.285342,-0.681483,-0.276802,-0.614444,-331.332336,79.198151,402.670258,-0.019314,-0.715076,0.004278,-0.698767,-264.059479,844.796692,632.565674,-0.050414,-0.714176,0.036119,-0.697213,-274.345276,538.909058,626.175537,0.170950,-0.564430,0.342734,-0.731251,-329.553467,91.237427,617.735535,-247.601807,689.940735,298.107300,-287.909607,514.593323,319.492035,-315.714020,92.927208,355.413239,-211.848724,788.023132,722.326111,-275.474609,539.182800,712.501770,-329.515656,94.914932,664.234131,-315.714020,92.927208,355.413239,-287.909607,514.593323,319.492035,-247.601807,689.940735,298.107300,-329.515656,94.914932,664.234131,-275.474609,539.182800,712.501770,-211.848724,788.023132,722.326111,-398.096802,1372.685547,507.255615,-122.733353,1602.574829,592.402893,-246.446823,1135.597290,221.502792,-158.889923,837.048523,208.474319,-299.422119,1062.770508,819.872192,-207.533173,832.404297,827.949463,-369.263153,967.044983,386.145203,-153.655853,966.865417,394.417816,-379.912170,937.751404,567.783813,-147.773117,894.628540,625.200989
7,0.058333,0.353114,0.498938,-0.194796,0.767089,-222.946762,1506.443604,539.286133,0.042542,0.652971,0.036564,0.755303,-285.168579,1362.679688,484.002869,-0.049277,0.376304,-0.597683,0.706217,-270.290985,1374.080078,382.825317,-0.134288,-0.001433,-0.543737,0.828441,-269.462158,1062.027954,215.481277,0.075530,-0.107486,0.723337,-0.677883,-162.759521,826.918274,254.228241,-0.027420,0.554344,-0.064819,0.829307,-295.099030,1359.745728,553.100464,0.564823,0.705586,0.132797,0.406803,-333.892242,1373.936523,647.344360,0.501755,0.820889,0.246160,0.117425,-322.924683,1053.445557,797.498962,0.641989,0.717341,0.255782,0.088587,-200.501862,823.281555,783.338074,-122.646118,1602.547241,592.449585,-398.031677,1372.681396,507.280060,-246.337555,1135.578003,221.545074,-158.720001,837.061646,208.578995,-299.494446,1062.671753,819.877075,-207.792877,832.209167,827.969421,-153.673187,966.807800,394.449341,-369.271179,967.067566,386.188202,-379.877075,937.756287,567.809814,-147.764893,894.576355,625.219604,-0.021270,-0.707856,-0.023464,-0.705646,-265.655304,830.013428,450.038971,-0.074492,-0.707607,0.030053,-0.702025,-264.736511,524.500244,430.680542,-0.285353,-0.681454,-0.276819,-0.614464,-331.333466,79.180031,402.682831,-0.019334,-0.715153,0.004292,-0.698687,-264.040192,844.772400,632.606323,-0.050424,-0.714253,0.036131,-0.697133,-274.341736,538.885315,626.215210,0.170800,-0.564514,0.342580,-0.731294,-329.565094,91.215370,617.782593,-247.623596,689.948608,298.112854,-287.922302,514.601868,319.492340,-315.705963,92.928818,355.415375,-211.783569,788.018066,722.312927,-275.438934,539.080933,712.551514,-329.477081,94.866768,664.359558,-315.705963,92.928818,355.415375,-287.922302,514.601868,319.492340,-247.623596,689.948608,298.112854,-329.477081,94.866768,664.359558,-275.438934,539.080933,712.551514,-211.783569,788.018066,722.312927,-398.031677,1372.681396,507.280060,-122.646118,1602.547241,592.449585,-246.337555,1135.578003,221.545074,-158.720001,837.061646,208.578995,-299.494446,1062.671753,819.877075,-207.792877,832.209167,827.969421,-369.271179,967.067566,386.188202,-153.673187,966.807800,394.449341,-379.877075,937.756287,567.809814,-147.764893,894.576355,625.219604
