,Name,Skeleton_25_marker:Head,Skeleton_25_marker:Head,Skeleton_25_marker:Head,Skeleton_25_marker:Head,Skeleton_25_marker:Head,Skeleton_25_marker:Head,Skeleton_25_marker:Head,Skeleton_25_marker:LShoulder,Skeleton_25_marker:LShoulder,Skeleton_25_marker:LShoulder,Skeleton_25_marker:LShoulder,Skeleton_25_marker:LShoulder,Skeleton_25_marker:LShoulder,Skeleton_25_marker:LShoulder,Skeleton_25_marker:LUArm,Skeleton_25_marker:LUArm,Skeleton_25_marker:LUArm,Skeleton_25_marker:LUArm,Skeleton_25_marker:LUArm,Skeleton_25_marker:LUArm,Skeleton_25_marker:LUArm,Skeleton_25_marker:LFArm,Skeleton_25_marker:LFArm,Skeleton_25_marker:LFArm,Skeleton_25_marker:LFArm,Skeleton_25_marker:LFArm,Skeleton_25_marker:LFArm,Skeleton_25_marker:LFArm,Skeleton_25_marker:LHand,Skeleton_25_marker:LHand,Skeleton_25_marker:LHand,Skeleton_25_marker:LHand,Skeleton_25_marker:LHand,Skeleton_25_marker:LHand,Skeleton_25_marker:LHand,Skeleton_25_marker:RShoulder,Skeleton_25_marker:RShoulder,Skeleton_25_marker:RShoulder,Skeleton_25_marker:RShoulder,Skeleton_25_marker:RShoulder,Skeleton_25_marker:RShoulder,Skeleton_25_marker:RShoulder,Skeleton_25_marker:RUArm,Skeleton_25_marker:RUArm,Skeleton_25_marker:RUArm,Skeleton_25_marker:RUArm,Skeleton_25_marker:RUArm,Skeleton_25_marker:RUArm,Skeleton_25_marker:RUArm,Skeleton_25_marker:RFArm,Skeleton_25_marker:RFArm,Skeleton_25_marker:RFArm,Skeleton_25_marker:RFArm,Skeleton_25_marker:RFArm,Skeleton_25_marker:RFArm,Skeleton_25_marker:RFArm,Skeleton_25_marker:RHand,Skeleton_25_marker:RHand,Skeleton_25_marker:RHand,Skeleton_25_marker:RHand,Skeleton_25_marker:RHand,Skeleton_25_marker:RHand,Skeleton_25_marker:RHand,Skeleton_25_marker:HeadTop,Skeleton_25_marker:HeadTop,Skeleton_25_marker:HeadTop,Skeleton_25_marker:BackTop,Skeleton_25_marker:BackTop,Skeleton_25_marker:BackTop,Skeleton_25_marker:LElbowOut,Skeleton_25_marker:LElbowOut,Skeleton_25_marker:LElbowOut,Skeleton_25_marker:LWristOut,Skeleton_25_marker:LWristOut,Skeleton_25_marker:LWristOut,Skeleton_25_marker:RElbowOut,Skeleton_25_marker:RElbowOut,Skeleton_25_marker:RElbowOut,Skeleton_25_marker:RWristOut,Skeleton_25_marker:RWristOut,Skeleton_25_marker:RWristOut,Skeleton_25_marker:WaistLFront,Skeleton_25_marker:WaistLFront,Skeleton_25_marker:WaistLFront,Skeleton_25_marker:WaistLBack,Skeleton_25_marker:WaistLBack,Skeleton_25_marker:WaistLBack,Skeleton_25_marker:WaistRBack,Skeleton_25_marker:WaistRBack,Skeleton_25_marker:WaistRBack,Skeleton_25_marker:WaistRFront,Skeleton_25_marker:WaistRFront,Skeleton_25_marker:WaistRFront,SkeletonConLow:LThigh,SkeletonConLow:LThigh,SkeletonConLow:LThigh,SkeletonConLow:LThigh,SkeletonConLow:LThigh,SkeletonConLow:LThigh,SkeletonConLow:LThigh,SkeletonConLow:LShin,SkeletonConLow:LShin,SkeletonConLow:LShin,SkeletonConLow:LShin,SkeletonConLow:LShin,SkeletonConLow:LShin,SkeletonConLow:LShin,SkeletonConLow:LFoot,SkeletonConLow:LFoot,SkeletonConLow:LFoot,SkeletonConLow:LFoot,SkeletonConLow:LFoot,SkeletonConLow:LFoot,SkeletonConLow:LFoot,SkeletonConLow:RThigh,SkeletonConLow:RThigh,SkeletonConLow:RThigh,SkeletonConLow:RThigh,SkeletonConLow:RThigh,SkeletonConLow:RThigh,SkeletonConLow:RThigh,SkeletonConLow:RShin,SkeletonConLow:RShin,SkeletonConLow:RShin,SkeletonConLow:RShin,SkeletonConLow:RShin,SkeletonConLow:RShin,SkeletonConLow:RShin,SkeletonConLow:RFoot,SkeletonConLow:RFoot,SkeletonConLow:RFoot,SkeletonConLow:RFoot,SkeletonConLow:RFoot,SkeletonConLow:RFoot,SkeletonConLow:RFoot,SkeletonConLow:LTHI,SkeletonConLow:LTHI,SkeletonConLow:LTHI,SkeletonConLow:LKNE,SkeletonConLow:LKNE,SkeletonConLow:LKNE,SkeletonConLow:LANK,SkeletonConLow:LANK,SkeletonConLow:LANK,SkeletonConLow:RTHI,SkeletonConLow:RTHI,SkeletonConLow:RTHI,SkeletonConLow:RKNE,SkeletonConLow:RKNE,SkeletonConLow:RKNE,SkeletonConLow:RANK,SkeletonConLow:RANK,SkeletonConLow:RANK,SkeletonConLow:LANK,SkeletonConLow:LANK,SkeletonConLow:LANK,SkeletonConLow:LKNE,SkeletonConLow:LKNE,SkeletonConLow:LKNE,SkeletonConLow:LTHI,SkeletonConLow:LTHI,SkeletonConLow:LTHI,SkeletonConLow:RANK,SkeletonConLow:RANK,SkeletonConLow:RANK,SkeletonConLow:RKNE,SkeletonConLow:RKNE,SkeletonConLow:RKNE,SkeletonConLow:RTHI,SkeletonConLow:RTHI,SkeletonConLow:RTHI,Skeleton_25_marker:BackTop,Skeleton_25_marker:BackTop,Skeleton_25_marker:BackTop,Skeleton_25_marker:HeadTop,Skeleton_25_marker:HeadTop,Skeleton_25_marker:HeadTop,Skeleton_25_marker:LElbowOut,Skeleton_25_marker:LElbowOut,Skeleton_25_marker:LElbowOut,Skeleton_25_marker:LWristOut,Skeleton_25_marker:LWristOut,Skeleton_25_marker:LWristOut,Skeleton_25_marker:RElbowOut,Skeleton_25_marker:RElbowOut,Skeleton_25_marker:RElbowOut,Skeleton_25_marker:RWristOut,Skeleton_25_marker:RWristOut,Skeleton_25_marker:RWristOut,Skeleton_25_marker:WaistLBack,Skeleton_25_marker:WaistLBack,Skeleton_25_marker:WaistLBack,Skeleton_25_marker:WaistLFront,Skeleton_25_marker:WaistLFront,Skeleton_25_marker:WaistLFront,Skeleton_25_marker:WaistRBack,Skeleton_25_marker:WaistRBack,Skeleton_25_marker:WaistRBack,Skeleton_25_marker:WaistRFront,Skeleton_25_marker:WaistRFront,Skeleton_25_marker:WaistRFront
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-0.319740,-0.568993,0.162266,-0.740056,-202.591919,1521.597656,689.945251,-0.047990,-0.679195,-0.033981,-0.731598,-266.820251,1376.312744,641.465637,0.073780,-0.424869,0.594038,-0.679089,-259.094727,1388.136963,539.540649,0.172653,-0.050891,0.534106,-0.826034,-282.744232,1080.252930,366.251160,-0.124969,0.139039,-0.681325,0.707706,-171.972229,845.292419,392.451660,0.008746,-0.589530,0.037901,-0.806809,-272.570282,1374.188599,711.065491,-0.563376,-0.686084,-0.150749,-0.434938,-303.649475,1381.542847,808.882629,-0.487225,-0.808697,-0.292330,-0.152197,-308.297546,1061.380005,960.062500,-0.616774,-0.715167,-0.295717,-0.143792,-183.267029,832.406982,949.959106,-112.394997,1624.499268,737.473328,-377.282440,1378.063110,675.742493,-258.718475,1155.704224,371.971832,-174.352097,856.545105,347.063812,-287.462006,1069.542480,983.839050,-197.156021,839.360107,992.583252,-141.891815,971.359924,546.542603,-359.748352,973.884644,541.733826,-361.409241,977.431213,788.029724,-156.682297,953.982788,816.383423,-0.007195,0.715493,-0.000538,0.698582,-253.432358,823.503662,574.703491,0.077687,0.710133,-0.087417,0.694287,-250.510361,517.408325,578.016724,0.299685,0.677624,0.283211,0.608939,-355.049316,78.606842,585.361511,-0.008975,0.715359,0.002034,0.698696,-246.062851,825.311462,757.716370,0.061883,0.711882,-0.070477,0.696008,-241.262177,519.236084,760.664856,-0.137830,0.602760,-0.206481,0.758320,-325.269989,76.031029,767.071350,-240.940613,687.365173,457.803070,-273.591827,511.351929,486.524170,-336.714539,93.328041,537.034607,-188.673492,782.567200,869.217651,-251.429047,532.105530,857.307922,-313.979370,92.966301,806.616394,-336.714539,93.328041,537.034607,-273.591827,511.351929,486.524170,-240.940613,687.365173,457.803070,-313.979370,92.966301,806.616394,-251.429047,532.105530,857.307922,-188.673492,782.567200,869.217651,-377.282440,1378.063110,675.742493,-112.394997,1624.499268,737.473328,-258.718475,1155.704224,371.971832,-174.352097,856.545105,347.063812,-287.462006,1069.542480,983.839050,-197.156021,839.360107,992.583252,-359.748352,973.884644,541.733826,-141.891815,971.359924,546.542603,-361.409241,977.431213,788.029724,-156.682297,953.982788,816.383423
1,0.008333,-0.319696,-0.568711,0.162393,-0.740264,-202.509171,1521.602417,689.880859,-0.047918,-0.679305,-0.033771,-0.731511,-266.777100,1376.324097,641.426758,0.074114,-0.424900,0.594122,-0.678960,-259.079529,1388.106934,539.494751,0.172978,-0.051059,0.534105,-0.825956,-282.818176,1080.134766,366.374176,-0.125281,0.139217,-0.681381,0.707562,-172.054764,845.172607,392.595306,0.008732,-0.589553,0.037990,-0.806789,-272.508911,1374.210083,711.028320,-0.563496,-0.686019,-0.150719,-0.434895,-303.581116,1381.577148,808.846802,-0.487360,-0.808598,-0.292360,-0.152237,-308.298462,1061.395874,959.985229,-0.616852,-0.715083,-0.295753,-0.143806,-183.342926,832.382935,949.862854,-112.292694,1624.525024,737.420654,-377.232635,1378.082153,675.781433,-258.792206,1155.577881,372.084747,-174.466827,856.419189,347.206085,-287.447144,1069.544678,983.763855,-197.252548,839.334961,992.504150,-141.945816,971.352722,546.531677,-359.816528,973.926208,541.770325,-361.401550,977.421143,788.066467,-156.631638,954.090759,816.335632,-0.007193,0.715471,-0.000498,0.698605,-253.513397,823.509216,574.710022,0.077653,0.710121,-0.087333,0.694313,-250.575577,517.413879,578.004639,0.299651,0.677584,0.283282,0.608967,-355.041595,78.594475,585.315063,-0.008967,0.715490,0.002027,0.698563,-246.119019,825.318481,757.721802,0.061838,0.712015,-0.070457,0.695878,-241.323929,519.242981,760.669006,-0.137973,0.602902,-0.206314,0.758226,-325.290192,76.030525,767.106445,-241.027039,687.365540,457.832153,-273.655762,511.355347,486.533844,-336.712799,93.326385,537.006042,-188.683502,782.553345,869.127075,-251.428070,532.101685,857.350586,-313.978210,92.899765,806.653320,-336.712799,93.326385,537.006042,-273.655762,511.355347,486.533844,-241.027039,687.365540,457.832153,-313.978210,92.899765,806.653320,-251.428070,532.101685,857.350586,-188.683502,782.553345,869.127075,-377.232635,1378.082153,675.781433,-112.292694,1624.525024,737.420654,-258.792206,1155.577881,372.084747,-174.466827,856.419189,347.206085,-287.447144,1069.544678,983.763855,-197.252548,839.334961,992.504150,-359.816528,973.926208,541.770325,-141.945816,971.352722,546.531677,-361.401550,977.421143,788.066467,-156.631638,954.090759,816.335632
2,0.016667,-0.319692,-0.568141,0.162423,-0.740697,-202.466644,1521.588623,689.924377,-0.047881,-0.679328,-0.033597,-0.731500,-266.755859,1376.318848,641.447388,0.074268,-0.424870,0.594221,-0.678875,-259.062256,1388.070435,539.511536,0.173095,-0.051128,0.534186,-0.825875,-282.866425,1080.041626,366.500824,-0.125396,0.139258,-0.681487,0.707431,-172.151703,845.057922,392.734100,0.008714,-0.589565,0.038097,-0.806775,-272.485931,1374.210449,711.049316,-0.563630,-0.685958,-0.150580,-0.434866,-303.553558,1381.593018,808.868042,-0.487541,-0.808545,-0.292228,-0.152187,-308.360443,1061.416870,960.014832,-0.616968,-0.715050,-0.295600,-0.143788,-183.489120,832.358765,949.873047,-112.289818,1624.563843,737.522217,-377.159454,1378.068848,675.721802,-258.828461,1155.480713,372.165710,-174.565964,856.291626,347.322815,-287.506470,1069.548096,983.807312,-197.373749,839.341919,992.516541,-142.040024,971.342834,546.556763,-359.894318,973.981018,541.824707,-361.378632,977.431946,788.088989,-156.707657,954.163391,816.421692,-0.007221,0.715451,-0.000475,0.698625,-253.590530,823.532532,574.731384,0.077643,0.710102,-0.087324,0.694335,-250.630646,517.437317,578.027893,0.299541,0.677608,0.283306,0.608983,-355.085419,78.615219,585.335388,-0.009008,0.715411,0.001981,0.698643,-246.186951,825.339722,757.742798,0.061768,0.711936,-0.070456,0.695966,-241.394012,519.264587,760.728210,-0.137612,0.602768,-0.206463,0.758358,-325.315369,76.044083,767.199219,-241.113388,687.374512,457.844971,-273.722839,511.363373,486.526550,-336.698059,93.333939,536.982910,-188.721115,782.502808,869.082214,-251.534454,532.200500,857.570862,-313.960358,92.955032,806.792053,-336.698059,93.333939,536.982910,-273.722839,511.363373,486.526550,-241.113388,687.374512,457.844971,-313.960358,92.955032,806.792053,-251.534454,532.200500,857.570862,-188.721115,782.502808,869.082214,-377.159454,1378.068848,675.721802,-112.289818,1624.563843,737.522217,-258.828461,1155.480713,372.165710,-174.565964,856.291626,347.322815,-287.506470,1069.548096,983.807312,-197.373749,839.341919,992.516541,-359.894318,973.981018,541.824707,-142.040024,971.342834,546.556763,-361.378632,977.431946,788.088989,-156.707657,954.163391,816.421692
3,0.025000,-0.319620,-0.567939,0.162542,-0.740856,-202.355713,1521.573853,689.847656,-0.047833,-0.679448,-0.033375,-0.731402,-266.689117,1376.310303,641.409241,0.074617,-0.424905,0.594309,-0.678738,-259.025879,1388.022461,539.466431,0.173474,-0.051347,0.534190,-0.825779,-282.925446,1079.901978,366.631744,-0.125752,0.139509,-0.681550,0.707258,-172.224686,844.913147,392.879089,0.008670,-0.589589,0.038186,-0.806754,-272.397919,1374.212769,711.013245,-0.563767,-0.685890,-0.150547,-0.434807,-303.458435,1381.604614,808.833557,-0.487710,-0.808464,-0.292179,-0.152174,-308.337708,1061.405640,959.929321,-0.617052,-0.715006,-0.295574,-0.143700,-183.550156,832.303040,949.762146,-112.166740,1624.577026,737.432190,-377.100220,1378.102661,675.752014,-258.887604,1155.330811,372.289886,-174.689865,856.139343,347.477203,-287.483459,1069.528320,983.710693,-197.416992,839.249451,992.407532,-142.141647,971.293030,546.565308,-359.982697,974.053040,541.883118,-361.337860,977.427185,788.110229,-156.623795,954.166809,816.356384,-0.007205,0.715477,-0.000423,0.698599,-253.697372,823.505920,574.739563,0.077563,0.710146,-0.087181,0.694317,-250.722290,517.410645,578.006531,0.299555,0.677532,0.283330,0.609049,-355.037750,78.554779,585.277222,-0.008980,0.715631,0.001951,0.698418,-246.227951,825.305908,757.748474,0.061714,0.712157,-0.070448,0.695744,-241.459198,519.230347,760.733826,-0.137590,0.602887,-0.206388,0.758288,-325.338837,76.002777,767.260315,-241.242050,687.379700,457.878693,-273.825684,511.364044,486.527130,-336.559448,93.412811,536.872192,-188.707138,782.420044,868.977661,-251.471786,532.021545,857.593140,-313.852661,92.827774,806.834229,-336.559448,93.412811,536.872192,-273.825684,511.364044,486.527130,-241.242050,687.379700,457.878693,-313.852661,92.827774,806.834229,-251.471786,532.021545,857.593140,-188.707138,782.420044,868.977661,-377.100220,1378.102661,675.752014,-112.166740,1624.577026,737.432190,-258.887604,1155.330811,372.289886,-174.689865,856.139343,347.477203,-287.483459,1069.528320,983.710693,-197.416992,839.249451,992.407532,-359.982697,974.053040,541.883118,-142.141647,971.293030,546.565308,-361.337860,977.427185,788.110229,-156.623795,954.166809,816.356384
4,0.033333,-0.319609,-0.567507,0.162547,-0.741191,-202.280518,1521.583740,689.877869,-0.047795,-0.679499,-0.033177,-0.731366,-266.642273,1376.329712,641.416199,0.074852,-0.424904,0.594392,-0.678640,-258.990601,1388.006958,539.468567,0.173765,-0.051536,0.534228,-0.825682,-282.959442,1079.817139,366.766907,-0.126089,0.139580,-0.681622,0.707114,-172.289703,844.814331,393.020050,0.008659,-0.589567,0.038327,-0.806763,-272.344788,1374.239746,711.020935,-0.563889,-0.685815,-0.150413,-0.434815,-303.408325,1381.653931,808.838623,-0.487866,-0.808430,-0.292045,-0.152110,-308.389832,1061.466309,959.955322,-0.617132,-0.715007,-0.295415,-0.143676,-183.671829,832.326599,949.768799,-112.127441,1624.643921,737.515564,-377.022461,1378.102905,675.755005,-258.919342,1155.240845,372.369263,-174.778870,855.998474,347.605103,-287.522522,1069.581299,983.747864,-197.537888,839.329956,992.422119,-142.218475,971.313232,546.536865,-360.076935,974.126282,541.934204,-361.331238,977.478271,788.199158,-156.665222,954.240234,816.381165,-0.007234,0.715496,-0.000391,0.698579,-253.808167,823.567810,574.755005,0.077536,0.710168,-0.087156,0.694301,-250.806274,517.472717,578.020325,0.299401,0.677602,0.283406,0.609012,-355.088715,78.609047,585.294861,-0.008967,0.715782,0.001880,0.698264,-246.279068,825.356079,757.761536,0.061639,0.712308,-0.070459,0.695596,-241.545609,519.280212,760.770874,-0.137624,0.602878,-0.206275,0.758320,-325.383484,76.045784,767.369263,-241.378448,687.386414,457.882690,-273.921173,511.377930,486.521851,-336.535767,93.415459,536.854858,-188.710938,782.421143,868.896973,-251.532166,532.220459,857.820557,-313.780029,92.935127,807.035706,-336.535767,93.415459,536.854858,-273.921173,511.377930,486.521851,-241.378448,687.386414,457.882690,-313.780029,92.935127,807.035706,-251.532166,532.220459,857.820557,-188.710938,782.421143,868.896973,-377.022461,1378.102905,675.755005,-112.127441,1624.643921,737.515564,-258.919342,1155.240845,372.369263,-174.778870,855.998474,347.605103,-287.522522,1069.581299,983.747864,-197.537888,839.329956,992.422119,-360.076935,974.126282,541.934204,-142.218475,971.313232,546.536865,-361.331238,977.478271,788.199158,-156.665222,954.240234,816.381165
5,0.041667,-0.319503,-0.567292,0.162620,-0.741385,-202.144272,1521.555176,689.849731,-0.047797,-0.679600,-0.032945,-0.731282,-266.554108,1376.310791,641.417786,0.075065,-0.424899,0.594504,-0.678521,-258.927551,1387.953735,539.464478,0.173992,-0.051664,0.534296,-0.825582,-282.988037,1079.696289,366.896667,-0.126284,0.139740,-0.681707,0.706966,-172.363586,844.674133,393.167053,0.008591,-0.589591,0.038467,-0.806740,-272.233734,1374.227661,711.024658,-0.564055,-0.685712,-0.150344,-0.434784,-303.289307,1381.656494,808.843750,-0.488053,-0.808346,-0.291990,-0.152063,-308.384979,1061.453491,959.924011,-0.617223,-0.714968,-0.295365,-0.143583,-183.754501,832.268005,949.696411,-112.013664,1624.668701,737.466492,-376.897919,1378.090698,676.024780,-258.941925,1155.112671,372.462555,-174.875534,855.858032,347.753540,-287.520599,1069.556152,983.699280,-197.592728,839.236023,992.333740,-142.341858,971.245544,546.539246,-360.175232,974.216064,541.991577,-361.280090,977.487915,788.229797,-156.633713,954.159302,816.340332,-0.007229,0.715583,-0.000362,0.698490,-253.950241,823.531921,574.767151,0.077433,0.710270,-0.087039,0.694223,-250.937607,517.436768,578.017151,0.299383,0.677581,0.283433,0.609032,-355.081787,78.540268,585.294006,-0.008945,0.716039,0.001809,0.698001,-246.323410,825.303711,757.769775,0.061549,0.712565,-0.070469,0.695339,-241.629028,519.227478,760.799561,-0.137286,0.603074,-0.206413,0.758188,-325.412598,75.984207,767.491577,-241.562164,687.395813,457.885376,-274.047150,511.381042,486.515656,-336.671478,93.305000,536.934631,-188.670975,782.292725,868.802612,-251.469254,532.028809,857.901611,-313.634918,92.873650,807.139709,-336.671478,93.305000,536.934631,-274.047150,511.381042,486.515656,-241.562164,687.395813,457.885376,-313.634918,92.873650,807.139709,-251.469254,532.028809,857.901611,-188.670975,782.292725,868.802612,-376.897919,1378.090698,676.024780,-112.013664,1624.668701,737.466492,-258.941925,1155.112671,372.462555,-174.875534,855.858032,347.753540,-287.520599,1069.556152,983.699280,-197.592728,839.236023,992.333740,-360.175232,974.216064,541.991577,-142.341858,971.245544,546.539246,-361.280090,977.487915,788.229797,-156.633713,954.159302,816.340332
6,0.050000,-0.319436,-0.567140,0.162673,-0.741519,-201.998764,1521.566528,689.814636,-0.047786,-0.679699,-0.032711,-0.731202,-266.457031,1376.333008,641.398010,0.075311,-0.424897,0.594609,-0.678403,-258.854980,1387.939697,539.438721,0.174305,-0.051831,0.534341,-0.825476,-283.001953,1079.607666,367.016541,-0.126600,0.139861,-0.681774,0.706821,-172.411346,844.572083,393.309052,0.008561,-0.589595,0.038642,-0.806729,-272.115356,1374.259033,711.006836,-0.564199,-0.685602,-0.150247,-0.434805,-303.167114,1381.713135,808.825195,-0.488203,-0.808286,-0.291932,-0.152010,-308.390015,1061.511841,959.904846,-0.617313,-0.714929,-0.295276,-0.143572,-183.827911,832.290894,949.642029,-111.875847,1624.721313,737.435120,-376.795013,1378.087524,676.035400,-258.940247,1155.019653,372.558899,-174.951218,855.740234,347.891022,-287.518616,1069.617310,983.677063,-197.672379,839.304443,992.310425,-142.423630,971.245300,546.468689,-360.265259,974.307556,542.042542,-361.257904,977.531982,788.328430,-156.597153,954.207214,816.282837,-0.007241,0.715664,-0.000328,0.698408,-254.086075,823.577026,574.752197,0.077356,0.710361,-0.086958,0.694148,-251.053421,517.481995,577.991882,0.299269,0.677632,0.283532,0.608985,-355.098297,78.562080,585.277588,-0.008921,0.716357,0.001703,0.697675,-246.360306,825.328369,757.750977,0.061438,0.712881,-0.070502,0.695022,-241.720032,519.251648,760.814514,-0.137194,0.603289,-0.206477,0.758016,-325.450684,76.000336,767.634460,-241.762619,687.406494,457.871216,-274.189392,511.368927,486.520905,-336.568298,93.386627,536.835815,-188.614166,782.287964,868.674194,-251.437134,532.134644,858.050720,-313.511230,92.906258,807.345825,-336.568298,93.386627,536.835815,-274.189392,511.368927,486.520905,-241.762619,687.406494,457.871216,-313.511230,92.906258,807.345825,-251.437134,532.134644,858.050720,-188.614166,782.287964,868.674194,-376.795013,1378.087524,676.035400,-111.875847,1624.721313,737.435120,-258.940247,1155.019653,372.558899,-174.951218,855.740234,347.891022,-287.518616,1069.617310,983.677063,-197.672379,839.304443,992.310425,-360.265259,974.307556,542.042542,-142.423630,971.245300,546.468689,-361.257904,977.531982,788.328430,-156.597153,954.207214,816.282837
7,0.058333,-0.319381,-0.566884,0.162661,-0.741741,-201.860123,1521.544922,689.840027,-0.047821,-0.679759,-0.032485,-0.731154,-266.359802,1376.323730,641.416199,0.075375,-0.424844,0.594756,-0.678301,-258.771423,1387.901489,539.452637,0.174302,-0.051757,0.534472,-0.825397,-283.010406,1079.525879,367.121460,-0.126554,0.139797,-0.681862,0.706757,-172.488892,844.462830,393.458984,0.008497,-0.589600,0.038831,-0.806717,-272.004639,1374.255127,711.026245,-0.564360,-0.685479,-0.150128,-0.434831,-303.052094,1381.732910,808.844177,-0.488374,-0.808213,-0.291871,-0.151964,-308.420532,1061.536743,959.929138,-0.617439,-0.714859,-0.295196,-0.143545,-183.938354,832.273987,949.630676,-111.770996,1624.761719,737.484924,-376.669861,1378.136841,676.036865,-258.947937,1154.922119,372.609741,-174.999054,855.628540,348.026276,-287.555573,1069.630859,983.707336,-197.763260,839.294067,992.304016,-142.562820,971.205017,546.441833,-360.360901,974.400696,542.106750,-361.208313,977.568420,788.374573,-156.607941,954.166321,816.289917,-0.007257,0.715756,-0.000313,0.698313,-254.242599,823.600952,574.750061,0.077261,0.710463,-0.086885,0.694063,-251.196289,517.505981,577.990112,0.299161,0.677659,0.283551,0.608999,-355.134552,78.561310,585.303162,-0.008894,0.716701,0.001586,0.697323,-246.417267,825.331848,757.744812,0.061312,0.713223,-0.070533,0.694679,-241.837433,519.254578,760.846008,-0.137270,0.603467,-0.206419,0.757876,-325.503601,75.993240,767.805664,-241.975739,687.429932,457.820953,-274.351440,511.364410,486.512756,-336.549561,93.392555,536.792786,-188.575928,782.206116,868.583191,-251.400467,532.113708,858.252991,-313.359039,93.001534,807.607666,-336.549561,93.392555,536.792786,-274.351440,511.364410,486.512756,-241.975739,687.429932,457.820953,-313.359039,93.001534,807.607666,-251.400467,532.113708,858.252991,-188.575928,782.206116,868.583191,-376.669861,1378.136841,676.036865,-111.770996,1624.761719,737.484924,-258.947937,1154.922119,372.609741,-174.999054,855.628540,348.026276,-287.555573,1069.630859,983.707336,-197.763260,839.294067,992.304016,-360.360901,974.400696,542.106750,-142.562820,971.205017,546.441833,-361.208313,977.568420,788.374573,-156.607941,954.166321,816.289917
